,task name,W,W_stderr,L2,L2_stderr,KL,KL_stderr
0,air_conditioner car_horn,0.7199321544688183,0.0789082999896578,0.8092134460263056,0.06778508353515646,0.8495357146167903,0.059815551697839774
1,air_conditioner children_playing,0.6561823376471444,0.06846188567071983,0.630482049900249,0.08064127186005582,0.6726036385881027,0.07767393033069886
2,air_conditioner dog_bark,0.5887615534705231,0.05351825896961572,0.6233791795917409,0.06289253364329886,0.6497939487227423,0.06466730397048955
3,air_conditioner drilling,0.7565218056590106,0.030279880933727868,0.715410330534976,0.04873102631236774,0.7411462798542762,0.04767094951746608
4,air_conditioner engine_idling,0.556016522065195,0.06527604402187816,0.5646255137479954,0.05214303990396408,0.5442707119324288,0.04084372075819501
5,air_conditioner gun_shot,0.7320556049499427,0.07189414782140882,0.7177432472734094,0.046504840371451625,0.6502543353869249,0.09030347186855267
6,air_conditioner jackhammer,0.7919543065361216,0.05736097971782576,0.6650107929792191,0.05552989015296301,0.737157519625206,0.058994868829334524
7,air_conditioner siren,0.8803232525828122,0.050867551686456285,0.9258826723677134,0.030617838047719354,0.926222550270477,0.029465770736001814
8,air_conditioner street_music,0.593068918609009,0.057098123146491125,0.7205916202841016,0.05043744746423917,0.7119795103557574,0.06382753658406778
9,car_horn children_playing,0.8078130062278476,0.04433606433689694,0.8144849698749665,0.03436365940966998,0.8510247815095806,0.02310277865626043
10,car_horn dog_bark,0.8320519052237272,0.044875615000026035,0.8246841096206374,0.04168465875342307,0.8547172576316149,0.026172755395804975
11,car_horn drilling,0.8885055381349499,0.03304721433534446,0.8938500855247735,0.02328137475228974,0.9344698761666341,0.014900327834157628
12,car_horn engine_idling,0.8266393815332312,0.04074968931745718,0.8323163569964681,0.05711697417246579,0.9116385876480628,0.02148119997954
13,car_horn gun_shot,0.587727576208947,0.07676721575317212,0.7433451868345644,0.04337686597186193,0.7897865776679698,0.03682257095479356
14,car_horn jackhammer,0.7456157691064812,0.09645260736830044,0.8076362778375163,0.06327889315882682,0.84529695321878,0.053469002800493694
15,car_horn siren,0.6674347821490679,0.0645457832926077,0.772075382289668,0.054611457934912316,0.8684575371718228,0.04030521421049457
16,car_horn street_music,0.8315446219198093,0.04611868653510061,0.8492342770922232,0.029264243437300063,0.8971720432518783,0.02774081953244548
17,children_playing dog_bark,0.6198669376906837,0.03452159688622414,0.4815039157067744,0.019062060723661192,0.5889940805805975,0.025628289285774465
18,children_playing drilling,0.6592357268765989,0.014136129342473007,0.6662027679070482,0.04524957012152249,0.7124343531480093,0.02182857040004207
19,children_playing engine_idling,0.659065312463366,0.04099908751423958,0.6646097665221702,0.0396157484152546,0.6954400561318638,0.036538756109747036
20,children_playing gun_shot,0.7511926775492668,0.0273217996707144,0.6852473767977645,0.031199457833306986,0.7356910129778347,0.02345456264060193
21,children_playing jackhammer,0.7066066593577982,0.05741061696726758,0.6383574176456579,0.0557070067621394,0.7296353830587228,0.05200062544493552
22,children_playing siren,0.7993245949843829,0.023019502791783403,0.8123482270422047,0.03768324707537424,0.8129986964046798,0.037057807981819665
